timestamp,driver_number,position
00:00:04.376,1,1
00:00:04.376,4,2
00:00:04.376,12,3
00:00:04.376,81,4
00:00:04.376,63,5
00:00:04.376,55,6
00:00:04.376,23,7
00:00:04.376,16,8
00:00:04.376,31,9
00:00:04.376,22,10
00:00:04.376,6,11
00:00:04.376,44,12
00:00:04.376,5,13
00:00:04.376,7,14
00:00:04.376,30,15
00:00:04.376,27,16
00:00:04.376,14,17
00:00:04.376,18,18
00:00:04.376,87,19
00:00:04.376,10,20
00:57:23.663,55,7
00:57:23.663,23,6
00:57:25.181,7,15
00:57:25.181,30,14
00:57:27.810,12,4
00:57:27.810,81,3
00:57:28.534,55,6
00:57:28.534,23,7
00:57:30.497,7,16
00:57:30.497,30,15
00:57:30.497,27,14
00:57:30.526,7,15
00:57:30.526,30,16
00:57:30.796,30,17
00:57:30.796,14,18
00:57:30.796,18,16
00:57:31.014,30,18
00:57:31.014,14,17
00:57:31.049,30,19
00:57:31.049,87,18
00:57:31.831,30,20
00:57:31.831,10,19
00:57:32.193,4,3
00:57:32.193,12,2
00:57:32.193,81,4
00:57:32.436,4,4
00:57:32.436,81,3
00:57:32.750,4,5
00:57:32.750,63,4
00:57:33.183,4,6
00:57:33.183,55,7
00:57:33.183,23,5
00:57:35.871,7,16
00:57:35.871,18,15
00:57:36.509,7,17
00:57:36.509,14,18
00:57:36.509,87,16
00:57:36.867,7,18
00:57:36.867,14,17
00:57:37.077,7,19
00:57:37.077,10,18
00:57:37.496,4,7
00:57:37.496,55,6
00:57:37.714,31,10
00:57:37.714,22,9
00:57:41.235,4,6
00:57:41.235,55,7
00:57:45.195,44,13
00:57:45.195,5,12
00:57:48.394,31,9
00:57:48.394,22,10
00:57:53.719,31,10
00:57:53.719,22,9
00:58:04.598,7,20
00:58:04.598,30,19
00:58:11.620,44,12
00:58:11.620,5,13
01:03:07.356,6,12
01:03:07.356,44,11
01:03:33.453,12,3
01:03:33.453,81,2
01:03:39.023,4,5
01:03:39.023,23,6
01:05:09.111,55,6
01:05:09.111,23,7
01:07:49.750,4,4
01:07:49.750,63,5
01:11:22.080,4,3
01:11:22.080,12,4
01:11:47.076,14,18
01:11:47.076,10,17
01:18:14.505,1,2
01:18:14.505,81,1
01:19:11.019,55,7
01:19:11.019,23,6
01:19:49.230,1,3
01:19:49.230,4,2
01:19:56.004,1,2
01:19:56.004,4,3
01:23:47.279,1,3
01:23:47.279,4,2
01:24:16.571,1,2
01:24:16.571,4,3
01:25:15.799,1,3
01:25:15.799,4,2
01:27:56.670,5,14
01:27:56.670,27,13
01:27:59.482,5,15
01:27:59.482,18,14
01:28:00.134,5,16
01:28:00.134,87,15
01:28:03.630,5,17
01:28:03.630,10,16
01:28:05.103,5,18
01:28:05.103,14,17
01:29:33.745,18,15
01:29:33.745,87,14
01:29:34.306,18,16
01:29:34.306,10,15
01:29:35.490,14,16
01:29:35.490,18,17
01:29:49.647,5,17
01:29:49.647,18,18
01:31:42.934,31,11
01:31:42.934,44,10
01:31:49.008,31,10
01:31:49.008,44,11
01:32:15.911,31,11
01:32:15.911,44,10
01:32:36.452,6,13
01:32:36.452,27,12
01:32:42.650,6,14
01:32:42.650,87,13
01:32:43.248,6,15
01:32:43.248,10,14
01:32:45.273,6,16
01:32:45.273,14,15
01:34:12.146,31,12
01:34:12.146,27,11
01:34:15.711,31,13
01:34:15.711,87,12
01:34:16.077,31,14
01:34:16.077,10,13
01:34:18.717,31,15
01:34:18.717,14,14
01:34:25.185,31,16
01:34:25.185,6,15
01:36:53.556,12,5
01:36:53.556,63,4
01:36:54.349,12,6
01:36:54.349,23,5
01:36:59.864,55,8
01:36:59.864,16,7
01:37:02.673,12,7
01:37:02.673,16,6
01:37:02.998,55,9
01:37:02.998,22,8
01:37:05.833,12,8
01:37:05.833,22,7
01:37:10.924,12,9
01:37:10.924,55,10
01:37:10.924,44,8
01:37:17.322,55,11
01:37:17.322,27,10
01:38:25.595,1,4
01:38:25.595,63,3
01:38:35.775,1,5
01:38:35.775,23,6
01:38:35.775,16,4
01:38:38.474,1,6
01:38:38.474,23,7
01:38:38.474,22,5
01:38:43.452,1,7
01:38:43.452,23,8
01:38:43.452,44,6
01:38:54.295,12,8
01:38:54.295,23,9
01:39:59.695,1,6
01:39:59.695,44,7
01:40:07.012,55,10
01:40:07.012,27,11
01:40:12.771,1,5
01:40:12.771,22,6
01:40:16.248,22,7
01:40:16.248,44,6
01:40:18.895,12,7
01:40:18.895,22,8
01:40:18.985,87,13
01:40:18.985,10,12
01:40:19.660,23,8
01:40:19.660,22,9
01:40:23.148,55,9
01:40:23.148,22,10
01:40:23.771,22,11
01:40:23.771,27,10
01:40:28.890,22,12
01:40:28.890,10,11
01:40:29.114,22,13
01:40:29.114,87,12
01:40:35.885,22,12
01:40:35.885,87,13
01:40:39.748,22,13
01:40:39.748,87,12
01:40:50.097,22,12
01:40:50.097,87,13
01:40:51.196,14,13
01:40:51.196,87,14
01:40:52.153,6,14
01:40:52.153,87,15
01:40:52.671,31,15
01:40:52.671,87,16
01:40:57.925,5,16
01:40:57.925,87,17
01:41:03.213,18,17
01:41:03.213,87,18
01:41:26.497,30,18
01:41:26.497,87,19
01:41:58.612,12,6
01:41:58.612,44,7
01:41:59.735,23,7
01:41:59.735,44,8
01:42:02.311,55,8
01:42:02.311,44,9
01:42:05.392,44,10
01:42:05.392,27,9
01:42:10.713,44,11
01:42:10.713,10,10
01:42:13.570,6,13
01:42:13.570,14,14
01:42:14.024,31,14
01:42:14.024,14,15
01:42:16.985,44,10
01:42:16.985,10,11
01:42:24.285,5,15
01:42:24.285,14,16
01:42:30.676,14,17
01:42:30.676,18,16
01:43:57.989,1,4
01:43:57.989,16,5
01:44:02.125,12,5
01:44:02.125,16,6
01:44:02.787,23,6
01:44:02.787,16,7
01:44:08.336,14,16
01:44:08.336,18,17
01:44:52.024,5,16
01:44:52.024,14,15
01:44:53.250,5,17
01:44:53.250,18,16
01:44:57.523,22,11
01:44:57.523,10,12
01:45:25.802,44,9
01:45:25.802,27,10
01:45:39.624,12,6
01:45:39.624,23,5
01:45:45.109,55,7
01:45:45.109,16,8
01:46:36.536,5,18
01:46:36.536,30,17
01:48:53.228,6,12
01:48:53.228,10,13
01:48:58.498,31,13
01:48:58.498,10,14
01:50:27.714,55,8
01:50:27.714,16,7
01:50:27.740,55,7
01:50:27.740,16,8
01:50:29.857,55,8
01:50:29.857,16,7
01:50:34.177,55,7
01:50:34.177,16,8
01:50:50.421,55,8
01:50:50.421,16,7
01:50:51.038,55,9
01:50:51.038,44,8
01:51:32.146,22,10
01:51:32.146,27,11
01:55:23.233,6,11
01:55:23.233,27,12
01:55:23.749,31,12
01:55:23.749,27,13
01:55:34.715,27,14
01:55:34.715,10,13
01:55:43.801,27,15
01:55:43.801,14,14
01:56:28.080,27,14
01:56:28.080,14,15
01:58:02.339,16,8
01:58:02.339,44,7
02:18:46.348,16,7
02:18:46.348,44,8
